T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;15.3;15.3;200000;0.3;7930;14.28;472;;600;;800;;200;200;150;;;
50;15.5;15.7;197000;0.3;7919;14.73;485;;566;;800;;189;189;150;;;
75;15.7;16.1;195000;0.3;7909;15.105;493;;538;;800;;179;179;150;;;
100;15.9;16.5;193000;0.3;7899;15.48;501;;510;;800;;170;170;150;;;
125;16.05;16.8;191000;0.3;7889;15.855;506.5;;503;;800;;168;168;150;;;
150;16.2;17.1;189000;0.3;7879;16.23;512;;495;;800;;165;165;150;;;
175;16.4;17.45;187000;0.3;7868.5;16.605;517;;488;;800;;163;163;150;;;
200;16.6;17.8;185000;0.3;7858;16.98;522;;480;;800;;160;160;150;;;
225;16.75;18.05;183000;0.3;7847.5;17.36;526;;473;;800;;158;158;150;;;
250;16.9;18.3;180000;0.3;7837;17.74;530;;465;;800;;155;155;150;;;
275;17.05;18.6;178000;0.3;7826;18.115;534;;458;;800;;153;153;150;;;
300;17.2;18.9;176000;0.3;7815;18.49;538;;450;;800;;150;150;150;;;
325;17.35;19.1;174000;0.3;7804;18.865;542;;443;;800;;148;148;148;;;
350;17.5;19.3;172000;0.3;7793;19.24;546;;435;;800;;145;145;145;;;
375;17.65;19.55;170000;0.3;7781.5;19.615;551;;428;;800;;143;143;143;;;
400;17.8;19.8;168000;0.3;7770;19.99;556;;420;;800;;140;140;140;;;
425;17.9;19.95;166000;0.3;7758.5;20.365;561.5;;;;;;;;;;;
450;18;20.1;164000;0.3;7747;20.74;567;;;;;;;;;;;
475;18.15;20.3;161000;0.3;7735.5;21.115;572.5;;;;;;;;;;;
500;18.3;20.5;159000;0.3;7724;21.49;578;;;;;;;;;;;
525;18.4;20.6;157000;0.3;7712.5;21.865;584;;;;;;;;;;;
550;18.5;20.7;155000;0.3;7701;22.24;590;;;;;;;;;;;
575;18.6;20.85;153000;0.3;7689;22.615;595.5;;;;;;;;;;;
600;18.7;21;151000;0.3;7677;22.99;601;;;;;;;;;;;
625;18.8;21.05;149000;0.3;7665.5;23.365;605.5;;;;;;;;;;;
650;18.9;21.1;147000;0.3;7654;23.74;610;;;;;;;;;;;
675;18.95;21.2;144000;0.3;7642;24.115;612.5;;;;;;;;;;;
700;19;21.3;142000;0.3;7630;24.49;615;;;;;;;;;;;
750;19.2;21.3;;0.3;7606;25.25;615;;;;;;;;;;;
800;19.3;21.4;;0.3;7582;26;607;;;;;;;;;;;
850;19.5;21.3;;0.3;;;;;;;;;;;;;;
900;19.6;21.3;;0.3;;;;;;;;;;;;;;
950;19.7;;;0.3;;;;;;;;;;;;;;
1000;19.7;;;0.3;;;;;;;;;;;;;;
