T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;;;;;;;640;;800;;213;213;160;;;
50;;;;;;;;;640;;800;;213;213;160;;;
75;;;;;;;;;640;;800;;213;213;160;;;
100;;;;;;;;;640;;800;;213;213;160;;;
125;;;;;;;;;640;;800;;213;213;160;;;
150;;;;;;;;;640;;800;;213;213;160;;;
175;;;;;;;;;640;;800;;213;213;160;;;
200;;;;;;;;;640;;800;;213;213;160;;;
225;;;;;;;;;640;;800;;213;213;160;;;
250;;;;;;;;;640;;800;;213;213;160;;;
275;;;;;;;;;640;;800;;213;213;160;;;
300;;;;;;;;;640;;800;;213;213;160;;;
325;;;;;;;;;640;;800;;213;213;160;;;
350;;;;;;;;;640;;800;;213;213;160;;;
375;;;;;;;;;640;;800;;213;213;160;;;
400;;;;;;;;;640;;800;;213;213;160;;;
425;;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;;
