T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;;;;;;;180;;250;;60;60;45;;;
50;;;;;;;;;180;;250;;60;60;45;;;
75;;;;;;;;;180;;250;;60;60;45;;;
100;;;;;;;;;180;;250;;60;60;45;;;
125;;;;;;;;;180;;250;;60;60;45;;;
150;;;;;;;;;180;;250;;60;60;45;;;
175;;;;;;;;;180;;250;;60;60;45;;;
200;;;;;;;;;180;;250;;60;60;45;;;
225;;;;;;;;;180;;250;;60;60;45;;;
250;;;;;;;;;180;;250;;60;60;45;;;
275;;;;;;;;;180;;250;;60;60;45;;;
300;;;;;;;;;180;;250;;60;60;45;;;
325;;;;;;;;;180;;250;;60;60;45;;;
350;;;;;;;;;180;;250;;60;60;45;;;
375;;;;;;;;;180;;250;;60;60;45;;;
400;;;;;;;;;180;;250;;60;60;45;;;
425;;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;;
