T;Alpha_m;Alpha_i;E;Nu;Rho;Lambda;Cp;a;Sy.min;Sy.average;Su.min;Su.average;SmB_etanche;SmB_non_etanche;SB;T_fluage;D_irneg;D_irmax
20;;;;;;;;;205;;310;;68;68;51;;;
50;;;;;;;;;205;;310;;68;68;51;;;
75;;;;;;;;;205;;310;;68;68;51;;;
100;;;;;;;;;205;;310;;68;68;51;;;
125;;;;;;;;;205;;310;;68;68;51;;;
150;;;;;;;;;205;;310;;68;68;51;;;
175;;;;;;;;;205;;310;;68;68;51;;;
200;;;;;;;;;205;;310;;68;68;51;;;
225;;;;;;;;;205;;310;;68;68;51;;;
250;;;;;;;;;205;;310;;68;68;51;;;
275;;;;;;;;;205;;310;;68;68;51;;;
300;;;;;;;;;205;;310;;68;68;51;;;
325;;;;;;;;;205;;310;;68;68;51;;;
350;;;;;;;;;205;;310;;68;68;51;;;
375;;;;;;;;;205;;310;;68;68;51;;;
400;;;;;;;;;205;;310;;68;68;51;;;
425;;;;;;;;;;;;;;;;;;
450;;;;;;;;;;;;;;;;;;
475;;;;;;;;;;;;;;;;;;
500;;;;;;;;;;;;;;;;;;
525;;;;;;;;;;;;;;;;;;
550;;;;;;;;;;;;;;;;;;
575;;;;;;;;;;;;;;;;;;
600;;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;;
850;;;;;;;;;;;;;;;;;;
900;;;;;;;;;;;;;;;;;;
950;;;;;;;;;;;;;;;;;;
1000;;;;;;;;;;;;;;;;;;
